City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto natales,-51.7236,-72.4875,3.86,82,48,5.07,CL,1696978550
84,port elizabeth,-33.918,25.5701,16.29,97,100,1.34,ZA,1696978550
85,keita,14.7551,5.7749,31.28,21,36,1.42,NE,1696978550
86,shakawe,-18.3667,21.85,24.98,43,83,1.27,BW,1696978551
87,ilulissat,69.2167,-51.1,-1.99,86,100,0.0,GL,1696978551
88,longyearbyen,78.2186,15.6401,-8.09,62,20,3.6,SJ,1696978551
89,rio grande,-32.035,-52.0986,20.06,85,0,8.61,BR,1696978551
90,macusani,-14.0833,-70.4333,6.35,72,18,3.17,PE,1696978551
91,klyuchi,52.2667,79.1667,15.06,53,100,5.62,RU,1696978552
92,iqaluit,63.7506,-68.5145,0.85,80,100,1.54,CA,1696978552
93,fort bragg,35.139,-79.006,27.08,43,0,5.66,US,1696978552
94,aykhal,66.0,111.5,5.59,92,100,13.41,RU,1696978552
95,maceio,-9.6658,-35.7353,23.69,100,0,2.06,BR,1696978553
96,kalmunai,7.4167,81.8167,25.19,88,82,4.8,LK,1696978553
97,cockburn town,21.4612,-71.1419,29.3,77,96,6.59,TC,1696978553
98,cabo san lucas,22.8909,-109.9124,30.42,82,75,3.13,MX,1696978553
99,valparaiso,-33.0393,-71.6273,15.8,71,75,7.72,CL,1696978393
100,nemuro,43.3236,145.575,12.2,68,36,9.14,JP,1696978554
101,namtsy,62.7161,129.6658,3.91,92,100,4.83,RU,1696978554
102,hadibu,12.65,54.0333,26.72,81,75,1.88,YE,1696978554
103,diboll,31.1871,-94.781,27.16,61,0,3.09,US,1696978344
104,nova vicosa,-17.8919,-39.3719,24.13,85,22,4.01,BR,1696978554
105,opuwo,-18.0607,13.84,21.72,35,55,2.17,NA,1696978555
106,aginskoye,51.1,114.53,4.04,89,8,2.15,RU,1696978555
107,qaqortoq,60.7167,-46.0333,5.37,57,100,1.95,GL,1696978555
108,howrah,22.5892,88.3103,28.0,89,40,0.0,IN,1696978555
109,kapit,2.0167,112.9333,23.14,98,96,0.28,MY,1696978556
110,mulayjah,27.271,48.4242,28.56,21,0,1.42,SA,1696978556
111,tiksi,71.6872,128.8694,-12.75,99,65,0.69,RU,1696978556
112,arno,60.1167,18.6333,9.32,91,100,9.18,SE,1696978556
113,vilyuchinsk,52.9306,158.4028,5.15,60,15,5.44,RU,1696978556
114,senges,-24.1128,-49.4636,18.34,86,19,3.63,BR,1696978557
115,susuman,62.7833,148.1667,-11.97,92,88,0.45,RU,1696978557
116,calama,-22.4667,-68.9333,22.27,10,0,9.77,CL,1696978557
117,holly springs,35.6513,-78.8336,21.72,72,61,0.45,US,1696978444
118,barra de santo antonio,-9.4047,-35.5072,23.6,80,62,2.73,BR,1696978557
119,rock springs,41.5875,-109.2029,18.91,25,75,8.75,US,1696978557
120,mount isa,-20.7333,139.5,27.87,32,1,3.6,AU,1696978558
121,san jose del cabo,23.0589,-109.6977,30.41,80,75,5.14,MX,1696978524
